,total,bens,serviçõs,Total exceto habitação,Total exceto produtos alimentares não transformados e produtos energéticos,Total exceto produtos alimentares não transformados,Total exceto produtos energéticos,Produtos alimentares não transformados,Produtos energéticos
9/1/2021,105.741,101.787,111.687,105.222,105.302,105.051,106.037,111.893,102.554
8/1/2021,104.783,100.195,111.832,104.233,104.082,103.89,105.048,112.575,101.914
7/1/2021,104.993,100.683,111.56,104.463,104.306,104.033,105.335,113.32,101.34
6/1/2021,105.359,101.543,111.07,104.856,104.903,104.428,105.876,113.455,99.934
5/1/2021,105.199,101.442,110.812,104.697,104.957,104.366,105.809,112.513,98.828
4/1/2021,104.951,101.213,110.532,104.447,104.795,104.127,105.628,112.187,97.904
3/1/2021,104.517,100.713,110.215,103.998,104.41,103.755,105.176,111.252,97.646
2/1/2021,103.067,98.469,110.147,102.493,102.829,102.146,103.766,111.072,95.795
1/1/2021,103.541,99.102,110.342,102.991,103.398,102.643,104.3,111.361,95.653
12/1/2020,103.854,99.763,110.054,103.328,104.056,103.054,104.822,110.894,93.854
11/1/2020,104.001,100.364,109.493,103.484,104.219,103.078,105.103,112.133,92.51
10/1/2020,104.31,100.358,110.293,103.812,104.533,103.358,105.446,112.707,92.454
9/1/2020,104.2,100,110.57,103.708,104.414,103.282,105.294,112.295,92.806
8/1/2020,103.198,98.121,110.936,102.678,103.13,102.157,104.162,112.393,93.231
7/1/2020,103.476,98.646,110.827,102.977,103.431,102.431,104.463,112.701,93.25
6/1/2020,104.827,99.914,112.306,104.393,105.167,103.865,106.076,113.31,91.723
5/1/2020,103.906,99.219,111.036,103.433,104.303,102.914,105.237,112.666,89.904
4/1/2020,104.374,99.791,111.34,103.907,104.713,103.349,105.685,113.422,90.592
3/1/2020,104.044,100.347,109.629,103.574,104.262,103.383,104.889,109.837,95.391
2/1/2020,102.573,98.014,109.504,102.058,102.151,101.778,102.98,109.565,98.74
1/1/2020,103.23,98.837,109.901,102.752,102.832,102.516,103.579,109.498,100.039
12/1/2019,104.093,100.268,109.879,103.663,104.206,103.636,104.645,108.06,98.678
11/1/2019,104.231,100.785,109.416,103.814,104.412,103.798,104.819,107.98,98.434
10/1/2019,104.385,100.617,110.079,103.986,104.632,103.987,104.997,107.831,98.336
9/1/2019,104.346,100.261,110.541,103.96,104.601,103.952,104.962,107.754,98.262
8/1/2019,103.21,98.257,110.779,102.79,103.208,102.676,103.735,107.851,98.072
7/1/2019,103.329,98.809,110.212,102.927,103.353,102.843,103.83,107.544,98.443
6/1/2019,104.696,100.832,110.542,104.362,104.953,104.35,105.266,107.687,99.087
5/1/2019,104.664,101.329,109.674,104.34,104.767,104.363,105.054,107.259,100.952
4/1/2019,104.603,101.027,109.993,104.287,104.889,104.381,105.077,106.499,100.01
3/1/2019,103.995,100.878,108.661,103.666,104.22,103.681,104.506,106.701,99.008
2/1/2019,102.185,98.189,108.245,101.798,102.054,101.609,102.637,107.197,97.813
1/1/2019,102.411,98.471,108.381,102.047,102.395,101.837,102.963,107.405,96.982
12/1/2018,103.658,100.594,108.242,103.36,103.834,103.298,104.17,106.771,98.66
11/1/2018,103.902,101.368,107.646,103.622,103.781,103.552,104.142,106.933,101.693
10/1/2018,104.369,101.291,108.973,104.118,104.307,104.149,104.531,106.247,102.941
9/1/2018,104.463,100.98,109.709,104.227,104.397,104.152,104.712,107.146,102.157
8/1/2018,103.298,98.969,109.886,103.025,102.982,102.828,103.481,107.373,101.66
7/1/2018,103.656,99.542,109.903,103.409,103.476,103.238,103.909,107.28,101.303
6/1/2018,104.292,101.182,108.948,104.083,104.312,104.019,104.579,106.637,101.591
5/1/2018,104.225,101.279,108.622,104.021,104.28,103.922,104.573,106.832,100.909
4/1/2018,103.803,100.949,108.054,103.592,104.035,103.509,104.299,106.331,98.966
3/1/2018,103.122,100.176,107.52,102.891,103.543,102.946,103.669,104.613,97.756
2/1/2018,101.234,97.741,106.505,100.937,101.075,100.801,101.521,104.995,98.535
1/1/2018,101.926,98.784,106.637,101.668,101.609,101.351,102.211,106.923,99.238
12/1/2017,102.974,100.526,106.584,102.769,103.253,102.638,103.554,105.873,97.28
11/1/2017,103.018,100.943,106.059,102.82,103.272,102.636,103.621,106.313,97.089
