observation_date,ESPCPIALLMINMEI,ESPCPIALLMINMEI - Base Year 2012,
1/1/1986,37.71406011005770,37.996,
2/1/1986,37.88220331260920,38.166,
3/1/1986,38.01007908966890,38.295,
4/1/1986,38.10258442355970,38.388,
5/1/1986,38.20869428294280,38.495,
6/1/1986,38.55967163501440,38.848,
7/1/1986,38.94493153865510,39.237,
8/1/1986,39.05539369949930,39.348,
9/1/1986,39.45969832169330,39.755,
10/1/1986,39.60716349816810,39.904,
11/1/1986,39.51629073673900,39.812,
12/1/1986,39.68497715002850,39.982,
1/1/1987,39.98915825688570,40.289,
2/1/1987,40.15947797769870,40.460,
3/1/1987,40.39291893327980,40.695,
4/1/1987,40.48433637557070,40.787,
5/1/1987,40.43427425037140,40.737,
6/1/1987,40.44406895007890,40.747,
7/1/1987,40.85381523545760,41.160,
8/1/1987,40.83585840850400,41.142,
9/1/1987,41.21241076897520,41.521,
10/1/1987,41.45727899672540,41.768,
11/1/1987,41.36205246371140,41.672,
12/1/1987,41.51006232104800,41.821,
1/1/1988,41.77343132155160,42.086,
2/1/1988,41.88770330818070,42.201,
3/1/1988,42.19133973417610,42.507,
4/1/1988,42.04441850350120,42.359,
5/1/1988,42.04224198523980,42.357,
6/1/1988,42.20548747040660,42.522,
7/1/1988,42.76269893226000,43.083,
8/1/1988,43.18550506226930,43.509,
9/1/1988,43.56477862186360,43.891,
10/1/1988,43.61375212040130,43.940,
11/1/1988,43.58926500360150,43.916,
12/1/1988,43.93589005421200,44.265,
1/1/1989,44.44630380072730,44.779,
2/1/1989,44.47786515317330,44.811,
3/1/1989,44.76191217975360,45.097,
4/1/1989,44.88216977536730,45.218,
5/1/1989,44.94583495593530,45.282,
6/1/1989,45.19070318368550,45.529,
7/1/1989,45.92421997533640,46.268,
8/1/1989,46.02978515385780,46.374,
9/1/1989,46.51680114529690,46.865,
10/1/1989,46.70453301220160,47.054,
11/1/1989,46.78017014580050,47.130,
12/1/1989,46.96246108458250,47.314,
1/1/1990,47.41954829603720,47.775,
2/1/1990,47.72046425797130,48.078,
3/1/1990,47.89513701530720,48.254,
4/1/1990,48.00396733875180,48.363,
5/1/1990,48.00015824802870,48.360,
6/1/1990,48.14816737030340,48.509,
7/1/1990,48.79516370198620,49.161,
8/1/1990,49.00901525815220,49.376,
9/1/1990,49.52487140291400,49.896,
10/1/1990,49.96454573321510,50.339,
11/1/1990,49.91448360801580,50.288,
12/1/1990,50.03746166769080,50.412,
1/1/1991,50.61970419214390,50.999,
2/1/1991,50.54896477592970,50.927,
3/1/1991,50.71329815269630,51.093,
4/1/1991,50.82321710280250,51.204,
5/1/1991,50.96741713435410,51.349,
6/1/1991,51.11433836502900,51.497,
7/1/1991,51.74881879788100,52.136,
8/1/1991,51.94090443637050,52.330,
9/1/1991,52.36534240377950,52.757,
10/1/1991,52.69455457323640,53.089,
11/1/1991,52.77454474335820,53.170,
12/1/1991,52.80338489668090,53.199,
1/1/1992,53.64028961352990,54.042,
2/1/1992,53.99779725544770,54.402,
3/1/1992,54.19314803886040,54.599,
4/1/1992,54.13492378641500,54.540,
